hour,trip_distance,fare_amount,passenger_count,trip_count,hour_of_day,day_of_week,regime,trip_distance_norm,fare_amount_norm,passenger_count_norm,trip_count_norm
2023-01-24 20:00:00,3.108193832599119,16.412009125235997,8110.0,6356,20,1,night,0.016560944579444264,0.08125950442947585,0.6787478027951127,0.6685954760645254
2023-01-24 21:00:00,3.0343998094633218,16.221976818037472,8259.0,6298,21,1,night,0.01616775844200694,0.0795740737671107,0.6912195530252856,0.662493424512717
2023-01-24 22:00:00,3.4752293577981654,17.910219801223242,6783.0,5232,22,1,night,0.01851656746491461,0.0945474039935944,0.5676738930270631,0.5503419253018933
2023-01-24 23:00:00,3.678869778869779,18.384025974025974,3729.0,2849,23,1,night,0.019601595590294285,0.09874967603581798,0.3120448648193588,0.29963177275086833
2023-01-25 00:00:00,4.349152431011826,20.6504073587385,1979.0,1522,0,2,night,0.023172966763566623,0.1188506195791574,0.1655645768810868,0.16002104155690686
2023-01-25 01:00:00,3.3711380880121395,17.75455235204856,870.0,659,1,2,night,0.01796195284209077,0.09316676142897466,0.0727379258390619,0.0692267227774127
2023-01-25 02:00:00,3.013456090651558,15.327252124645893,463.0,353,2,2,night,0.016056167021005034,0.07163859976877612,0.0386707960157038,0.037033140452354514
2023-01-25 03:00:00,33.02927203065134,19.756130268199236,330.0,261,3,2,night,0.17598514541211835,0.11091911545090949,0.027538294132395127,0.027354024197761857
2023-01-25 04:00:00,5.653534136546185,26.525261044176705,321.0,249,4,2,night,0.030122917216859862,0.17095575203961993,0.026784966937284015,0.02609153077324977
2023-01-25 05:00:00,17.551837748344372,27.695579470198677,713.0,604,5,2,night,0.0935189463311759,0.1813355163493155,0.05959655143545693,0.06344029458173231
2023-01-25 06:00:00,3.9395808704997317,19.145486297689413,2159.0,1861,6,2,night,0.02099070520580356,0.10550320440473952,0.1806311207833091,0.19568648079937329
2023-01-25 07:00:00,3.075396784232365,17.150754668049792,4493.0,3856,7,2,morning_rush,0.016386196758161515,0.08781157132746499,0.37599397338212437,0.4055760126245075
2023-01-25 08:00:00,2.6902643256801078,16.912986687246768,6129.0,5183,8,2,morning_rush,0.01433415057142305,0.08570276440256977,0.5129321168489889,0.545186743818469
2023-01-25 09:00:00,3.8194561303771084,16.853534205040745,6365.0,5277,9,2,morning_rush,0.020350661736530166,0.08517546966021278,0.5326860299652358,0.5550762756438137
2023-01-25 10:00:00,2.8207842749901224,17.29974911102331,6167.0,5062,10,2,midday,0.01502958134680282,0.08913302980161401,0.5161128316727913,0.5324566017879722
2023-01-25 11:00:00,2.6745028248587572,16.75731261770245,6545.0,5310,11,2,midday,0.014250170821237078,0.0843220631207027,0.5477525738674581,0.5585481325612219
2023-01-25 12:00:00,2.7787658005617977,16.76555301966292,7027.0,5696,12,2,midday,0.014805700320136478,0.08439514872566714,0.5880974303167421,0.5991583377163606
2023-01-25 13:00:00,2.730213502596653,17.046634448932487,8784.0,6932,13,2,midday,0.014547006056164838,0.0868881104041118,0.7351636394067672,0.7291951604411054
2023-01-25 14:00:00,2.9234641387419167,17.903292181069958,8537.0,6804,14,2,midday,0.015576675776752315,0.09448596168625364,0.7144889930520512,0.7157285639129766
2023-01-25 15:00:00,2.683484526699029,17.178572512135922,8457.0,6592,15,2,midday,0.014298026738344231,0.08805829278275246,0.7077927513177301,0.693424513413263
2023-01-25 16:00:00,2.9140615792575133,17.64671921037124,8599.0,6788,16,2,evening_rush,0.015526577464062491,0.09221036992859546,0.7196785803961498,0.7140452393469604
2023-01-25 17:00:00,2.8628856721619087,17.55496850288165,9307.0,7461,17,2,evening_rush,0.015253904198861272,0.09139661642543401,0.7789403197448908,0.7848500789050132
2023-01-25 18:00:00,2.184996494508063,14.777277401261978,10752.0,8558,18,2,evening_rush,0.011642004263797495,0.0667607751715687,0.8998911860710639,0.9002630194624931
2023-01-25 19:00:00,2.5707495720224993,15.33482391782832,10226.0,8178,19,2,evening_rush,0.013697357205774264,0.07170575536240588,0.8558633966679033,0.8602840610196104
2023-01-25 20:00:00,2.7614064516129035,15.666229390681004,8714.0,6975,20,2,night,0.014713206984340407,0.0746450500215925,0.7293044278892363,0.7337190952122737
2023-01-25 21:00:00,3.2475,17.318948985863553,7994.0,6508,21,2,night,0.01730318970383266,0.08930331693987158,0.6690382522803473,0.6845870594416784
2023-01-25 22:00:00,3.4193247045582438,17.823128868880136,6643.0,5331,22,2,night,0.018218698698067082,0.09377497887310321,0.5559554699920013,0.5607574960541181
2023-01-25 23:00:00,4.208129722921915,20.30522355163728,4072.0,3176,23,2,night,0.02242157564097141,0.11578912239893029,0.3407550012552601,0.33403471856882266
2023-01-26 00:00:00,5.071953414505029,23.372493382742192,2436.0,1889,0,3,night,0.027024163849170845,0.14299328941296904,0.20381685778839556,0.19863229878990146
2023-01-26 01:00:00,5.62681960375391,24.60997914494265,1243.0,959,1,3,night,0.029980577993225073,0.1539687728904919,0.10395915292533359,0.10078905839021483
2023-01-26 02:00:00,4.411784946236559,21.13967741935484,617.0,465,2,3,night,0.023506682635025204,0.12319004361971565,0.05156106135427173,0.04881641241446731
2023-01-26 03:00:00,3.9896126760563377,19.796830985915495,368.0,284,3,3,night,0.021257282518435193,0.11128009742618798,0.030719008956197606,0.02977380326141002
2023-01-26 04:00:00,5.736547231270358,26.297328990228014,379.0,307,4,3,night,0.030565224014678063,0.16893418171652924,0.03163974219466674,0.03219358232505819
2023-01-26 05:00:00,5.772992957746479,26.847394366197182,676.0,568,5,3,night,0.03075941256559733,0.1738128103277965,0.05649953963333347,0.059652814308196044
2023-01-26 06:00:00,4.070626659585767,19.657302177376526,2123.0,1883,6,3,night,0.02168893773804193,0.11004259136386785,0.17761781200286464,0.19800105207764543
2023-01-26 07:00:00,3.3066743119266055,17.963458205912335,4600.0,3924,7,3,morning_rush,0.017618479725344537,0.0950195849664048,0.3849501967017787,0.412730142030076
2023-01-26 08:00:00,2.671775972141613,16.466738247243182,6076.0,5169,8,3,morning_rush,0.014235641721973289,0.08174490684191338,0.5084958567000012,0.5437138348232049
2023-01-26 09:00:00,2.6781671608598963,16.69164195700519,6490.0,5396,9,3,morning_rush,0.014269694978578508,0.08373961823652144,0.5431489076751124,0.5675960021035585
2023-01-26 10:00:00,2.9232994350282486,17.842000000000002,6639.0,5310,10,3,midday,0.015575798209515202,0.09394235032426235,0.5556206579052853,0.5585481325612219
2023-01-26 11:00:00,2.740699137311287,17.16009705248023,6901.0,5564,11,3,midday,0.01460287516367289,0.08789443061287171,0.5775508495851865,0.5852709100467277
2023-01-26 12:00:00,3.031970104131676,18.201894524689283,7510.0,5954,12,3,midday,0.016154812590651164,0.09713431950082431,0.6285259897877052,0.6263019463433704
2023-01-26 13:00:00,3.1644,18.500422134387353,7987.0,6325,13,3,midday,0.01686041986106484,0.09978201448682514,0.6684523311285943,0.6653340347178691
2023-01-26 14:00:00,3.210801576872536,18.790347495984815,8675.0,6849,14,3,midday,0.017107654745493618,0.10235341458945704,0.7260400100437548,0.7204629142548968
2023-01-26 15:00:00,4.5441748400852875,18.75934328358209,9158.0,7035,15,3,midday,0.02421207676840005,0.10207843266129762,0.7664685695147179,0.7400315623348342
2023-01-26 16:00:00,3.3626382671480144,19.57859783393502,8892.0,6925,16,3,evening_rush,0.017916664462457033,0.10934454840657717,0.7442035657481005,0.7284587059434734
2023-01-26 17:00:00,2.9459146577285034,17.698914528812686,9863.0,7757,17,3,evening_rush,0.015696295665582,0.09267329958213706,0.8254791997984218,0.8159915833763114
2023-01-26 18:00:00,2.700717343514983,16.837668633576303,11004.0,8643,18,3,evening_rush,0.014389845891076442,0.08503475505743642,0.920984347534175,0.9092056812194537
2023-01-26 19:00:00,2.9229749289222022,16.772981390540192,9940.0,7738,19,3,evening_rush,0.015574069190050084,0.0844610322811138,0.8319243324677057,0.8139926354541672
2023-01-26 20:00:00,3.2442734184478557,17.356615980490606,9074.0,6971,20,3,night,0.017285997970902207,0.08963739228021492,0.7594375156936808,0.7332982640707697
2023-01-26 21:00:00,3.171084764240937,16.839557100027257,9643.0,7338,21,3,night,0.016896037334132225,0.0850515042055587,0.807064535029039,0.7719095213037643
2023-01-26 22:00:00,3.361797719087635,17.75498199279712,8871.0,6664,22,3,night,0.01791218589046506,0.09317057198993715,0.7424458022928413,0.7009994739603356
2023-01-26 23:00:00,3.96179435483871,19.573977822580645,6469.0,4960,23,3,night,0.021109062136827565,0.1093035726961207,0.5413911442198531,0.5217254076796194
